name	targets
Gemifloxacin	PARC,GYRA
Bupropion	SLC6A3,SLC6A2,CHRNA3
Trimetrexate	DHFR
Bretylium	ATP1A1
Halothane	KCNK3,KCNK9,KCNMA1,GRIN3A,GRIN3B,GRIN2A,GLRA1,RHO,KCNJ6,KCNJ3,MT-ND1,KCNN4,ATP5D,ATP2C1,GABRA1,GNG2,NPSR1,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Dinoprost Tromethamine	PTGFR,PTGIR
Chloroprocaine	SCN10A,GRIN3A,CHRNA10,HTR3A,SLC6A3
Terazosin	ADRA1A,ADRA1B,ADRA1D,KCNH2,KCNH6,KCNH7
Amdinocillin	PBP2A,MRDA,PBP3,PBPA,PENA,PBP1B
Calcium Chloride	
Ofloxacin	PARC,GYRA,TOP2A
Cilostazol	PDE3A
Itraconazole	CYP51A1,ERG11
Procarbazine	MAOA,MAOB
Arsenic trioxide	IKBKB,TXNRD1,JUN,CCND1,MAPK3,MAPK1,AKT1
Guanethidine	SLC6A2
Moclobemide	MAOA
Kanamycin	RPSL
Orphenadrine	GRIN2D,GRIN1,GRIN3B,GRIN3A,HRH1,SLC6A2,SCN10A
Phenobarbital	GABRA1,CHRNA4,CHRNA7,GRIA2,GRIK2,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B
Escitalopram	SLC6A4,SLC6A3,SLC6A2,ADRA1A,CHRM1,HRH1
Cyclizine	HRH1,SULT1E1
Idarubicin	TOP2A
Chlormezanone	TSPO
Podofilox	TOP2A,TUBA4A,TUBB
Rescinnamine	ACE
Ifosfamide	
Propafenone	SCN5A,KCNH2
Naloxone	OPRM1,OPRD1,OPRK1,CREB1,ESR1,TLR4
Domperidone	DRD2,DRD3
Fluoxymesterone	AR,ESR1,PRLR,NR3C1
Pergolide	DRD2,DRD3,DRD4,HTR1A,HTR2B,HTR2A,HTR1D,ADRA2B,ADRA2A,ADRA2C,DRD5,DRD1,HTR1B,HTR2C,ADRA1A,ADRA1B,ADRA1D
Iophendylate	
Ciclopirox	ATP1A1
Desflurane	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GLRA1,GRIA1,KCNA1,ATP2C1,ATP5D,MT-ND1
Clindamycin	RPLJ
Dexfenfluramine	SLC6A4,HTR2C
Oxymorphone	OPRM1,OPRD1
Acebutolol	ADRB1,ADRB2
Brinzolamide	CA2,CA1,CA4,CA5A
Flecainide	SCN5A,SCN4A
Estramustine	MAP2,MAP1A,ESR1,ESR2
Captopril	ACE,MMP2,MMP9,LTA4H
Zopiclone	GABRA1,GABRA2,GABRA3,GABRA5,TSPO
Tubocurarine	CHRNA2,HTR3A,ACHE
Bromocriptine	DRD2,DRD3,HTR1D,ADRA2A,HTR1A,ADRA2C,ADRA2B,HTR2B,DRD4,HTR2A,HTR1B,HTR2C,DRD5,DRD1,ADRA1A,ADRA1B,ADRA1D,HTR7
Rifapentine	RPOC
Levetiracetam	SV2A,CACNA1B
Nadolol	ADRB1,ADRB2
Mitoxantrone	TOP2A
Flumazenil	GABRA1,GABRG2,GABRA5,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Lomustine	STMN4
Ridogrel	TBXA2R,TBXAS1
Sparfloxacin	PARC,GYRA,TOP2A
Dezocine	OPRM1,OPRK1
Levobunolol	ADRB2,ADRB1
Clarithromycin	RPLJ,KCNH2,SLCO1B1,SLCO1B3
Ceftriaxone	PENA,SLC22A11,SLC22A6,SLC22A8,SLC15A1
Fomepizole	ADH1A,ADH1B,ADH1C,CAT
Metipranolol	ADRB2,ADRB1
Estazolam	GABRA1,GABRA2,GABRA3,GABRA5,GABRG1,GABRG2,GABRG3,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Finasteride	SRD5A2,SRD5A1,AKR1D1
Anastrozole	CYP19A1
Halofantrine	KCNH2,
Dantrolene	RYR1
Rifaximin	RPOB,NR1I2
Ketamine	GRIN3A,TACR1,DRD2,OPRD1,SLC6A2,OPRK1,OPRM1,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,HTR2A,HTR2B,HTR2C,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F
Budesonide	NR3C1
Aminophylline	PDE3A,ADORA1,ADORA3,HDAC2
Quetiapine	HTR2A,DRD2,HTR1A,HTR1B,HTR1D,HTR1E,HTR2C,HTR3A,HTR6,HTR7,DRD1,DRD5,DRD3,DRD4,HRH1,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5
Enoxaparin	SERPINC1,F10
Mivacurium	CHRNA2,CHRM2,CHRM3,BCHE
Levomethadyl Acetate	OPRM1,CHRNB4,CHRNA3
Encainide	SCN5A
Paclitaxel	TUBB1,BCL2,NR1I2,MAP4,MAP2,MAPT
Pemoline	
Diphenidol	CHRM1,CHRM3,CHRM2
Saquinavir	POL
Metoclopramide	DRD2,CHRM1,HTR4,HTR3A
Dexamethasone	NR3C1,NR0B1,ANXA1,NOS2
Levodopa	DRD1,DRD5,DRD2,DRD3,DRD4
Sevoflurane	GABRA1,GLRA1,GRIA1,KCNA1,ATP2C1,ATP5D,MT-ND1,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Bromodiphenhydramine	HRH1
Aripiprazole	HTR2A,DRD2,HTR1A,HTR1B,HTR1D,HTR1E,HTR2C,HTR3A,HTR6,HTR7,DRD1,DRD5,DRD3,DRD4,HRH1,ADRA1A,ADRA1B,ADRA2A,ADRA2B,ADRA2C,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5
Chlorprothixene	DRD2,DRD1,DRD3,HTR2A,HTR2B,HTR2C,HRH1,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5
Epoprostenol	P2RY12,PTGIR,PTGIS
Gemfibrozil	PPARA
Clomipramine	SLC6A4,HTR2A,HTR2B,HTR2C,SLC6A2,GSTP1
Chloroxine	
Bepridil	CACNA1A,CACNA1H,CACNA2D2,ATP1A1,KCNQ1,TNNC1,CALM1,PDE1B,PDE1A
Decamethonium	CHRNA2,ACHE
Alimemazine	HRH1
Isocarboxazid	MAOA,MAOB
Docetaxel	TUBB1,BCL2,MAP2,MAP4,MAPT,NR1I2
Iodixanol	
Olsalazine	TPMT,IFNG
Gliquidone	ABCC8,KCNJ8
Mitiglinide	ABCC8,PPARG
Ergonovine	ADRA1A
Dasatinib	ABL1,SRC,EPHA2,LCK,YES1,KIT,PDGFRB,STAT5B,ABL2,FYN
Lisdexamfetamine	SLC6A3,ADRA1B
Retapamulin	RPLC
Eculizumab	C5
Lapatinib	EGFR,ERBB2
Desonide	NR3C1
Sitagliptin	DPP4
Decitabine	DNMT1
Posaconazole	ERG11
Darunavir	POL
Telbivudine	P
Sinecatechins	
Paliperidone	HTR2A,DRD2,HRH1,ADRA1A,ADRA1B,DRD4,HTR1D,DRD3,HTR2C,ADRA2A,ADRA2B,ADRA2C,HTR1A,DRD1,CYP3A4,CYP2D6,CYP3A5
Sunitinib	PDGFRB,FLT1,KIT,KDR,FLT4,FLT3,CSF1R,PDGFRA
Panitumumab	EGFR
Ranibizumab	VEGFA
Idursulfase	PLIN3
Alglucosidase alfa	M6PR
Varenicline	CHRNA4,CHRNA7,CHRNA3,CHRNA6
Arformoterol	ADRB2
Hydralazine	AOC3,P4HA1
Exenatide	GLP1R
Mecasermin	IGF1R,IGFBP3,INSR,IGF2R
Pramlintide	CALCR,RAMP1,RAMP2,RAMP3
Galsulfase	PLIN3
Nelarabine	POLA1
Abatacept	CD80,CD86
Carbetocin	OXTR
Lumiracoxib	PTGS2,PTGS1
Tetracosactide	MC2R
Corticotropin	MC2R,CRH
Fenoterol	ADRB2,ADRB1,ADRB3
Glisoxepide	KCNJ8
Pirbuterol	ADRB2,ADRB1
Bismuth Subsalicylate	
Bevantolol	ADRB1,ADRB2,ADRA1A
Glucosamine	MMP9,NFKB2,TNF,IFNG,CSN
Practolol	ADRB1
Sulfacytine	FOLP
Sulfadoxine	,
Rolitetracycline	RPSI
Oxtriphylline	PDE3A,PDE4A,ADORA2A,ADORA1,HDAC2
Insulin Aspart	INSR
Insulin Detemir	INSR
Insulin Glulisine	INSR
Fosamprenavir	POL
Fosphenytoin	SCN5A
Josamycin	RPLD
Kava	
St. John's Wort	
Polythiazide	SLC12A3
Quinethazone	CA1,CA2,SLC12A1,SLC12A2,SLC12A3
Cefamandole	PBPA
Cefazolin	MRCA,MRCB,PBPC,MRDA,FTSI,PON1
Cefonicid	MRCA,FTSI,MRCB,DACB,MRDA
Cefoperazone	FTSI,MRCB,MRDA,MRCA,PONB,DACC,MRCA,DACA,DACB
Cefotetan	PBP3
Cefoxitin	DACC,DACA,PBPG,DACB,MRCA,MRCB,FTSI,PBP3,PBP1B,PBP2A,PBPA,PENA
Ceftizoxime	MECA,MRCA,MRCB,FTSI
Cefradine	MRCA
Metocurine	CHRNA2,CHRM2
Pancuronium	CHRNA2,CHRM2,CHRM3
Pipecuronium	CHRNA2,CHRM2,CHRM3
Vecuronium	CHRNA2
Cilazapril	ACE
Dihydroquinidine barbiturate	GABRA1
Forasartan	AGTR1
Tolevamer	
Potassium	ATP1A1
Quinidine barbiturate	GABRA1,GABRA2,SCN5A,KCNK1,GRIA2
Saprisartan	AGTR1
Spirapril	ACE
Tasosartan	AGTR1,AGTR2
Amobarbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2
Aprobarbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2
Butethal	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2
Heptabarbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2
Hexobarbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2
Lithium	GSK3B,IMPA1,IMPA2,GRIA3
Mestranol	ESR1
Penbutolol	ADRB1,ADRB2,HTR1A,HTR1B
Iohexol	
Ephedra	SLC6A3,SLC6A2,ADRA2A,ADRA2B,ADRA2C,MAOA,MAOB,ADRB1,ADRB2,ADRB3,SLC6A4,SLC18A2,SLC18A1
Ephedrine	SLC6A2,ADRA1A,SLC18A2,ACHE
Mephentermine	ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3
Procaterol	ADRB2
Rasagiline	MAOB,BCL2
Quinupristin	RPLJ,RPLV
Aluminium	TF,ATP1A1
Calcium	CACNA1C,ATP2C1,TNNC2,TNNC1,SPTBN1,S100B,CAST,COMP,CALM1
Aluminium monostearate	TNNC1,VDAC1,VDAC2,VDAC3
Magnesium oxide	
Magnesium	ATP1A1
Cortisone acetate	NR3C1
Ginkgo biloba	SLC6A2,PLA2G2A,GLRA1,GABRA1,GABRB2,GABRG2
Glycodiazine	KCNJ1,ABCC8
Paramethasone	NR3C1
Mibefradil	CACNA1G,CACNA1H,CACNA1C,CACNA1D,CACNA1F,CACNA1I,CACNA1S,CACNB1,CACNB2,CACNB3,CACNB4
Sodium bicarbonate	
Yohimbine	ADRA2A,ADRA2B,ADRA2C,HTR1A,HTR1B,HTR1D,DRD2,DRD3,HTR2A,HTR2C,KCNJ1,KCNJ10,KCNJ11,KCNJ12,KCNJ14,KCNJ15,KCNJ8,HTR2B
Bezafibrate	PPARA,PPARD,PPARG
Colchicine	TUBB1,TUBB
Drospirenone	PGR,NR3C2,AR
Digitoxin	ATP1A1
Magnesium salicylate	PTGS2,PTGS1
Salsalate	PTGS2,PTGS1
Neostigmine	ACHE
Choline magnesium trisalicylate	PTGS1,PTGS2
Methotrimeprazine	DRD2,DRD1,DRD5,DRD3,DRD4,HTR2A,HTR2C,HRH1,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C
Ginseng	IL6,PTGS2,AHR
Temafloxacin	GYRA,PARC
Danazol	ESR1,AR,PGR,GNRHR,GNRHR2,CCL2
Clenbuterol	ADRB2,ADRB1,ADRB3,NGF,TNF
Bambuterol	ADRB2
Tiotropium	CHRM3,CHRM1,CHRM2
Ciclesonide	NR3C1
Pranlukast	CYSLTR1,TNF,IL5,RNASE3,NFKB1,MUC2
Theobromine	ADORA1,ADORA2A,PDE4B
Cefepime	MRDA,FTSI,PBPB,PBPA
Cefacetrile	MRCA,MRCB
Ceftibuten	FTSI,MRCA,MRCB,MRDA
Cefpodoxime	FTSI
Acenocoumarol	VKORC1
Antrafenine	PTGS1,PTGS2
Testosterone Propionate	AR
Paromomycin	RPSJ
Nitroxoline	METAP2
Stepronin	
Aminophenazone	
Alizapride	DRD2
Ajmaline	SCN5A
Amrinone	PDE3A,PDE4B,TNF
Oxybenzone	
Aprindine	SCN5A,CALM1
Almitrine	ATP1A1
Allylestrenol	PGR,ESR1
Cholestyramine	
Methadyl Acetate	OPRM1
19-norandrostenedione	
Antipyrine	PTGS2,PTGS1
Alfacalcidol	VDR,CYP27B1
Glutethimide	GABRA1,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Phenazopyridine	SCN1A
3-Methylthiofentanyl	OPRM1,OPRD1,OPRK1
Gamma Hydroxybutyric Acid	SLC52A2,GABRB1
5-Methoxy-N,N-diisopropyltryptamine	
MMDA	HTR2A,SLC6A3,SLC6A4,SLC6A2,SLC18A2,SLC18A1,MAOA,MAOB
19-Nor-5-androstenedione	
Dimethylthiambutene	OPRM1,OPRD1
Bufotenine	
Alpha-methyltryptamine	
4-Methylaminorex	
19-Nor-4-androstenedione	
Dihydroetorphine	
1-Androstenedione	
Heroin	OPRM1,OPRK1,OPRD1
Beta-hydroxyfentanyl	
3,4-Methylenedioxymethamphetamine	SLC6A4,SLC18A2,SLC6A3,HTR2A,HTR2B,HTR2C,SLC6A2
19-Nor-5-androstenediol	
5-androstenedione	
2,5-Dimethoxy-4-(n)-propylthiophenethylamine	
Bezitramide	
Diethyltryptamine	
Dimenoxadol	
Etonitazene	
Fencamfamine	SLC6A3
Furethidine	
2,5-Dimethoxyamphetamine	
Ethylmorphine	OPRM1
2,5-Dimethoxy-4-ethylamphetamine	
Ethylmethylthiambutene	
Acetorphine	
α-methylthiofentanyl	
Bolasterone	
4-Methoxyamphetamine	SLC6A3,SLC6A4,SLC18A2,ADRA1A,ADRA2A,MAOA,MAOB
Betaprodine	
17alpha-methyl-3beta,17beta-dihydroxyandrost-4-ene	
Dioxaphetyl butyrate	
Haloxazolam	
Codeine methylbromide	
desmethylprodine	
BA-2664	
Cyprenorphine	
Delta1-dihydrotestosterone	AR
Fenethylline	
Barbital	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2
4-Bromo-2,5-dimethoxyamphetamine	
4-Hydroxytestosterone	
Cathine	
Embutramide	
Dimethyltryptamine	HTR6,HTR2A,SIGMAR1
Camazepam	
Aminorex	
Dipipanone	
Ethylestrenol	
Chloral betaine	
Dichloralphenazone	
Barbituric acid derivative	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,CHRNA4,CHRNA7,GRIA2,GRIK2
Etorphine	OPRM1,OPRD1,OPRK1,OPRL1,TRIM13,POMC
Alphamethadol	
Alphameprodine	
Oxabolone	
Difenoxin	
Diampromide	
1-Androstenediol	
Etoxeridine	
1-Phenylcyclohexylamine	
3,4-Methylenedioxyamphetamine	
Dehydrochloromethyltestosterone	
Delorazepam	
Hydromorphinol	
17Alpha-methyl-3beta,17beta-dihydroxy-5alpha-androstane	
Furazabol	
Benzoylecgonine	
3,4,5-Trimethoxyamphetamine	
Benzethidine	
Tenocyclidine	GRIN3A,GRIN3B,GRIN2A,GRIN2C,GRIN2B,GRIN2D,CHRNA7
Clostebol	
Betacetylmethadol	
Clonitazene	
Androstenediol	
Ecgonine	
4-Androstenediol	
Clortermine	
4-Methyl-2,5-dimethoxyamphetamine	
Dextromoramide	
5alpha-androstane-3alpha,17beta-diol	
Desomorphine	
α-Methylacetylfentanyl	
Diethylthiambutene	
Chlorhexadol	
Carfentanil	OPRM1,OPRD1,OPRK1
Androstenedione	HSD17B1,HSD3B1,ERYF,AKR1C3
4-Bromo-2,5-dimethoxyphenethylamine	
Acetyldihydrocodeine	
1-Piperidinocyclohexanecarbonitrile	
17alpha-methyl-4-hydroxynandrolone	
Boldenone	AR
Allylprodine	
18-methyl-19-nortestosterone	
Flunitrazepam	TSPO,GABRA2,GABRA4,GABRA5,GABRA6,GABRA3
Ethyl loflazepate	
Etryptamine	
Drotebanol	
Diprenorphine	OPRM1,OPRD1,OPRK1,TRIM13
Rolicyclidine	GRIN3A,DRD2
Fenproporex	
Dihydrocodeine	
Betameprodine	
Cloxazolam	
Bolandiol	
Alphacetylmethadol	
Chlorphentermine	
α-Methylfentanyl	
Bromazepam	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GABRG3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3,GABRQ
Clotiazepam	GABRA1,GABRA2,GABRA3,GABRA5,GABRG1,GABRG2,GABRG3,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3
Cathinone	
Androstanedione	HSD17B1,KSI
1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine	
Chloral hydrate	
Calusterone	AR
Dihydromorphine	OPRM1,OPRD1,OPRK1,TRIM13,POMC
Methylenedioxyethamphetamine	
Fludiazepam	GABRA1,GABRA2,GABRA3,GABRA5,GABRG1,GABRG2,GABRG3,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3
Codeine-N-oxide	
Formebolone	HSD11B2
Ohmefentanyl	
3-Methylfentanyl	OPRM1,OPRD1,OPRK1
17Alpha-methyl-delta1-dihydrotestosterone	
Benzylmorphine	
Attapulgite	
Kaolin	
Dextroamphetamine	SLC18A2,SLC6A2,SLC6A3,TAAR1,ADRA1A,ADRA1B
Methamphetamine	SLC6A3,SLC6A4,SLC6A2,SLC18A2,SLC18A1,TAAR1,ADRA2A,ADRA2B,ADRA2C,MAOA,MAOB
Metrizamide	
Phendimetrazine	ADRA1A,SLC6A2,ADRA1B
Oxprenolol	ADRB1,ADRB2
Sulfamerazine	FOLP
Sulfamethazine	FOLP
Liotrix	THRA,THRB
Thyroglobulin	
Ursodeoxycholic acid	AKR1C2
Ketazolam	TSPO,GABRA1,GABRB1,GABRG1,GABRD,GABRE
Prazepam	GABRA1,GABRA2,GABRA3,GABRA5,GABRG1,GABRG2,GABRG3,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Quazepam	GABRA1,GABRA2,GABRA3,GABRA5,GABRG1,GABRG2,GABRG3,GABRB1,GABRB3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ
Everolimus	MTOR
Solifenacin	CHRM3,CHRM1,CHRM2,CHRM4,CHRM5
Iron	
Zinc	
Cinolazepam	GABRA1,GABRA2,GABRA3,GABRA5,GABRG1,GABRG2,GABRG3,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3
Nitrazepam	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GABRG3,GABRD,GABRE,GABRP,GABRR1,GABRR2,GABRR3,GABRQ,SCN1A
Cilastatin	DPEP1
Imipenem	MRDA,MRCB,MRCA,PBPC,BLAZ
Probucol	ABCA1,CES1
Tiaprofenic acid	PTGS2,PTGS1
Lopinavir	POL
Bacampicillin	PBPA
Meticillin	MECA,PBP2A,PBP1B,PENA,PBP3,PBPA
Pivampicillin	PBPA
Pivmecillinam	PBPA
Tazobactam	BLA,BLA
Ticarcillin	MECA
Propericiazine	DRD1,ADRA2A,ADRA1B
Deferasirox	
Valganciclovir	
Hydroxychloroquine	TLR7,TLR9
Amyl Nitrite	NPR1
Erythrityl Tetranitrate	NPR1,NPR2
Acepromazine	DRD2,DRD1,HTR2A,HTR1A,ADRA1A,ADRA1B
Aceprometazine	HRH1
Alverine	HTR1A
Molindone	DRD2,HTR1A,HTR2A,CHRM1
Phenindamine	HRH1
Pheniramine	HRH1
Pipotiazine	DRD2,DRD1,HTR2A,HTR1A
Thioproperazine	DRD2,DRD1,HTR2A,HTR1A,ADRA1A,ADRA1B
Thiothixene	DRD2,DRD1,HTR2A
Zuclopenthixol	DRD1,DRD5,DRD2,ADRA1A,ADRA2A,HTR2A,HRH1
Isopropamide	CHRM3,CHRM4
Pargyline	MAOB,MAOA
Lincomycin	RPLJ
Etoricoxib	PTGS2
5-Fluorouridine	UDP
SC-74020	MMP2
Methyl Nonanoate (Ester)	LCN2,IGHG1
Alpha-Phosphoribosylpyrophosphoric Acid	HGPRTASE,APRT,TRPD,HPRT1,PYRE,UCKL1
Deoxy-2-Fluoro-B-D-Cellotrioside	CEL5A
2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine	TYNA
2,2-Dimethylthiazolidine-4-Carboxylic Acid;(Dmt)Thiazolidine	
Clorocruoro Hem	
3,7,11,15-Tetramethyl-Hexadecan-1-Ol	
Sorbitol	XYLA,XYLA,XYLA,GLCB
N-Methyl-Pyridoxal-5'-Phosphate	ASPC
(5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-4,5-Dihydropyridazin-3(2h)-One	PDE3B
(5z)-2-[(1s,2r)-1-Amino-2-Hydroxypropyl]-5-[(4-Amino-1h-Indol-3-Yl)Methylene]-3-(2-Hydroxyethyl)-3,5-Dihydro-4h-Imidazol-4-One	
O1-Methyl-Glucose	CEL5A,CELCCF,CELA1
Thymidine-5'-Phosphate	TMK,DTYMK,TK,,DNAQ,RMLA,TYMS,THYA,TOPA
3,6-Dihydroxy-Xanthene-9-Propionic Acid	GSR
Genistein	ESR2,TOP2A,PTK2B,NCOA1,ESR1,NCOA2
N-Acetylmethionine	AAAR,RHO
Daxalipram	PDE4B
O1-Methyl-4-Deoxy-4-Thio-Beta-D-Glucose	
7-Methyl-Gpppa	DCPS,EIF4E
trans-2-hydroxycinnamic acid	
Methyl 4,6-O-[(1r)-1-Carboxyethylidene]-Beta-D-Galactopyranoside	APCS
4-Hydroxybenzoyl Coenzyme A	FCBB,
L-gulonic acid 6-phosphate	ULAD
Roflumilast	PDE4D,PDE4A,PDE4B,PDE4C
2-Amino-3-[4-Hydroxy-6-Oxo-3-(2-Phenyl-Cyclopropylimino)-Cyclohexa-1,4-Dienyl]-Propionic Acid	TYNA
1'-Deazo-Thiamin Diphosphate	
3-(1,10-Phenanthrol-2-Yl)-L-Alanine	
Phosphoribosyl Atp	HISG
Trans-O-Hydroxy-Alpha-Methyl Cinnamate	CTRB1
Lambda-Bis(2,2'-Bipyridine)-(5-Methyl-2-2'-Bipyridine)-C9-Adamantane Ruthenium (II)	CAMC
(S)-Des-Me-Ampa	GRIA2
ZK-800270	PRSS1
D-Myo-Inositol-Hexasulphate	PHYA,FST
8-azaguanine	PNP
Nanaomycin D	ACTVA 6
Virginiamycin M1	VATD
Propyl Acetate	EST
4-(Hydroxymercury)Benzoic Acid	CA2
2,3-Dihydroxy-Benzoic Acid	DHBE,LCN2
Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine	MURD,MURC
[2-(1-Amino-2-Hydroxy-Propyl)-4-(4-Fluoro-1h-Indol-3-Ylmethyl)-5-Hydroxy-Imidazol-1-Yl]-Acetic Acid	
Methacrylyl-Coenzyme A	ACAD8
Trinitrotoluene	ONR
Fumaric Acid	MDH,FCCA,,ME2,FAH
RU84687	SRC
Propyl Trihydrogen Diphosphate	
Benzene Hexacarboxylic Acid	PGAM2
6'-Methyl-Thiamin Diphosphate	
Chymostatin	PAM
1-Hydroxy-1-Thio-Glycerol	PREP
Topiroxostat	XDH
N,N-dimethylarginine	NOS2,NOS3
beta-Mannobiose	
P-Cresol	COBT
Inhibitor Idd 384	AKR1B1
Bis(Adenosine)-5'-Triphosphate	COAE
Indole Naphthyridinone	FABI
Dithioerythritol	PRFA,RIBH,TK1
D-tartaric acid	DLGD,B3GAT1,TREM1,DDX6,,HIF1AN,SERA,LPXA,ATP6V1C1,RMLC,,PHNA,
N-Hydroxy-4-Phosphono-Butanamide	TPI1
beta-cellotriose	
Rutin	AKR1C3
(4e)-4-Aminohex-4-Enoic Acid	ABAT
AICA ribonucleotide	ATIC
1,2-Dichloro-Propane	LINB
2-(3,4-Dihydroxyphenyl)Acetic Acid	MNDD,,PAC,PCAG,PCAH
N-(2-Ferrocenylethyl)Maleimide	CAMC
2,4-Dihydroxy-Trans Cinnamic Acid	CTRB1
Bis(5-Amidino-Benzimidazolyl)Methane	PRSS1,BOTB
2-Bromo-6-Chloro-Purine	
L-Alfa-Lysophosphatidylcholine, Lauroyl	
Prasterone	ESR1,ESR2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,AR,HSD17B1,SULT2A1,SULT2B1,PPARA,SIGMAR1,NR1I2,NR1I3,KSI,CHOB
2-phospho-D-glyceric acid	KDSA,GPMI,TPI,ENO3
Porphyrin Fe(Iii)	MB
2,3,4,5,6-Pentafluorobenzyl Alcohol	ADH1C
(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Phenylalanine Ethyl Ester	FKBP1A
Udp-Alpha-D-Xylopyranose	HASB
N-Methyl-Lysine	
7,8-Diamino-Nonanoic Acid	BIOD1
2-Propenyl-N-Acetyl-Neuramic Acid	
Bis(Adenosine)-5'-Pentaphosphate	ADK,ADK,ADK,AK2,AK8,ADK,AK1
Cetrimonium	MMAA2,CMAA1
Thio-Maltopentaose	
(2z)-2-(Benzoylamino)-3-[4-(2-Bromophenoxy)Phenyl]-2-Propenoic Acid	
Analogue of Indinavir Drug	GAG-POL
